"Action","Acci&oacute;n"
"There was a problem with the un-subscription.","Hubo un problema con la cancelaci&oacute;n de suscripci&oacute;n"
"There was a problem with the subscription","Hubo un problema con la suscripci&oacute;n"
"There was a problem with the subscription: %s","Hubo un problema con la suscripci&oacute;n: %s"
"ID","ID"
"Queue Information","Informaci&oacute;n de la cola de tareas"
"Template Information","Informaci&oacute;n de la plantilla"
"Newsletter Problem Reports","Informes de problemas del Bolet&iacute;n de noticias"
"Queue Start","Inicio de la cola de tareas"
"Guest","Invitado"
"Invalid queue selected","La cola de tareas seleccionada es inv&aacute;lida"
"Confirmation request has been sent","La solicitud de confirmaci&oacute;n ha sido enviada"
"The subscription was successfully saved","La suscripci&oacute;n fue guardada con &eacute;xito"
"Selected problems successfully deleted","Los problemas seleccionados fueron borrados con &eacute;xito"
"Message","Mensaje"
"Not activated","No activado"
"Not Sent","No enviado"
"No Templates Found","No se encontraron plantillas"
"No problems found","No se encontraron problemas"
"Cannot delete subscriber","No se puede borrar al suscriptor"
"Cannot delete template","No se puede borrar la plantilla"
"Cannot save your subscription: %s","No se puede guardar su suscripci&oacute;n: %s"
"Cannot mark as received subscriber","No se puede marcar como recibido"
"No subscribers selected","No se seleccionaron suscriptos"
"Template Name","Nombre de la  plantilla"
"Customer Firstname","Nombre del cliente"
"Sender Name","Nombre del remitente"
"New Template","Nueva plantilla"
"New Newsletter Template","Nueva plantilla para el Bolet&iacute;n de noticias"
"Subscription Options","Opciones de suscripci&oacute;n"
"Pause","Pausa"
"Paused","Pausado"
"Unsubscription Email Template","Plantilla de correo electr&oacute;nico de cancelaci&oacute;n de suscripci&oacute;n"
"Success Email Template","Plantilla de correo para operaci&oacute;n exitosa"
"Confirmation Email Template","Plantilla del correo electr&oacute;nico de confirmaci&oacute;n"
"Newsletter Templates","Plantillas del Bolet&iacute;n de noticias"
"Please enter new template name","Por favor ingrese un nuevo nombre de plantilla"
"Please select subscriber(s)","Por favor seleccione suscripto(s)"
"Processed","Procesado"
"Recipients","Recipientes"
"Reset","Reiniciar"
"Sender","Remitente"
"Unsubscription Email Sender","Remitente de correo electr&oacute;nico de cancelaci&oacute;n de suscripci&oacute;n"
"Success Email Sender","Remitente de correo para operaci&oacute;n exitosa"
"Confirmation Email Sender","Remitente del correo electr&oacute;nico de confirmaci&oacute;n"
"Website","Sitio Web"
"Your subscription was successfully confirmed","Su suscripci&oacute;n fue confirmada con &eacute;xito"
"Subscribe","Suscribirse"
"Sign up for our newsletter:","Suscribirse al bolet&iacute;n de noticias"
"Unsubcribed","Suscripci&oacute;n cancelada"
"Newsletter subscription success","Suscripci&oacute;n exitosa al Bolet&iacute;n de noticias"
"Newsletter Subscriptions","Suscripciones al bolet&iacute;n de noticias"
"Subcribed","Suscripto"
"Subscriber","Suscriptor"
"Subscribers","Suscriptores"
"Subscribers From","Suscriptores desde"
"Newsletter Subscribers","Suscriptos al Bolet&iacute;n de noticias"
"Queue Finish","Tareas finalizadas"
"Error Text","Texto del error"
"Store","Tienda"
"Type","Tipo"
"Template Type","Tipo de plantilla"
"View Newsletter","Ver el Bolet&iacute;n de noticias"
"Store View","Vista de la tienda"
"Preview","Vista previa"
"Preview Template","Vista previa de la plantilla"
"Newsletter Message Preview","Vista previa del Bolet&iacute;n de noticias"
"Back","Volver atr&aacute;s"
