"%s already exists","%s ya existe"
"%s already exist","%s ya existe"
"* Required Fields","* Campos obligatorios"
"Save","Guardar"
"Save Website","Guardar el sitio web"
"Save Store","Guardar la tienda"
"Save Store View","Guardar la vista de la tienda"
"Enabled","Habilitado"
"Enabled for Admin","Habilitado para administrador"
"Enabled for Frontend","Habilitado para el frontend"
"Host","Host"
"Id path for specified store","ID de ruta para la tienda especificada"
"Unable to delete Website. Please, try again later.","Imposible borrar el sitio web. Por favor, intente m&aacute;s tarde."
"Unable to delete Store. Please, try again later.","Imposible borrar la tienda. Por favor, intente m&aacute;s tarde."
"Unable to delete Store View. Please, try again later.","Imposible borrar la vista de tienda. Por favor, intente m&aacute;s tarde."
"Unable to create backup. Please, try again later.","Imposible crear la copia de seguridad. Por favor, intente m&aacute;s tarde."
"Unable to proceed. Please, try again","Imposible proceder. Por favor, intente m&aacute;s tarde."
"Contact Information","Informaci&oacute;n de contacto"
"Store Information","Informaci&oacute;n de la tienda"
"Store View Information","Informaci&oacute;n de la vista de tienda"
"Website Information","Informaci&oacute;n del sitio web"
"Unsecure","Inseguro"
"Allowed IPs (comma separated)","IPs permitidas (separadas por coma)"
"Invalid websites configuration path: %s","La configuraci&oacute;n de la ruta del sitio web es inv&aacute;lida: %s"
"Start date can't be greater than end date","La fecha de inicio no puede ser mayor que la de final"
"Store was successfully deleted.","La tienda fue borrada con &eacute;xito."
"Store was successfully saved","La tienda fue guardada con &eacute;xito."
"Store not exists","La tienda no existe"
"Store View was successfully deleted.","La vista de tienda fue borrada con &eacute;xito."
"Store View was successfully saved","La vista de tienda fue guardada con &eacute;xito."
"Store View not exists","La vista de tienda no existe"
"Locale","Local"
"Wrong number of arguments for %s","N&uacute;mero de argumentos err&oacute;neo para %s"
"This Website cannot be deleted","No se puede borrar el sitio web"
"This Store cannot be deleted.","No se puede borrar esta tienda"
"This Store View cannot be deleted.","No se puede borrar esta vista de tienda"
"This Website cannot be deleted.","No se puede borrar este sitio web"
"Cannot Delete Email Template","No se puede borrar la plantilla de correo electr&oacute;nico"
"This Store cannot be deleted","No se puede borrar la tienda"
"This Store View cannot be deleted","No se puede borrar la vista de tienda"
"Can't retrieve request object","No se puede recuperar el objeto solicitado"
"Can't retrieve entity config: %s","No se puede recuperar la configuraci&oacute;n de entidad: %s"
"You have no items to compare.","No tiene art&iacute;culos para comparar."
"Name","Nombre"
"Store Name","Nombre de la tienda"
"Store View Name","Nombre de la vista de tienda"
"File Name","Nombre del archivo"
"Exception Log File Name","Nombre del archivo de registro de la excepci&oacute;n"
"Current package name","Nombre del paquete actual"
"Sender name","Nombre del remitente"
"Website Name","Nombre del sitio web"
"New Store","Nueva tienda"
"New Store View","Nueva vista de tienda"
"New Design Change","Nuevo cambio de dise&ntilde;o"
"New Website","Nuevo sitio web"
"Countries options","Opciones de pa&iacute;ses"
"Locale options","Opciones locales"
"Search Engines Optimization","Optimizaci&oacute;n para motores de b&uacute;squeda"
"Sort order","Orden de clasificaci�n"
"Default Pages","P&aacute;ginas por defecto"
"Default country","Pa&iacute;s por defecto"
"Package","Paquete"
"Profiler","Perfilador"
"Allow countries","Permitir pa&iacute;ses"
"Forgot Password Email Template","Plantilla de correo de contrase&ntilde;a olvidada"
"Templates","Plantillas"
"Default","Por defecto"
"Please enter 6 or more characters.","Por favor, escriba 6 o m&aacute;s caracteres."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Por favor, escriba 6 o m&aacute;s caracteres. Los espacios al principio y al final ser&aacute;n ignorados."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, escriba un c&oacute;digo postal v&aacute;lido."
"Please enter a valid zip code.","Por favor, escriba un c&oacute;digo postal v&aacute;lido."
"Please enter a valid $ amount. For example $100.00.","Por favor, escriba un importe v&aacute;lido."
"Please enter a valid credit card number.","Por favor, escriba un n&uacute;mero de tarjeta de cr&eacute;dito v&aacute;lido."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor, escriba un n&uacute;mero de tel&eacute;fono v&aacute;lido."
"Please enter a number greater than 0 in this field.","Por favor, escriba un n&uacute;mero mayor que 0 en este campo."
"Please enter a valid social security number. For example 123-45-6789.","Por favor, escriba un n&uacute;mero v&aacute;lido de seguridad social."
"Please enter a valid number in this field.","Por favor, escriba un n&uacute;mero v&aacute;lido en este campo."
"Please enter valid password.","Por favor, escriba una contrase&ntilde;a v&aacute;lida."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor, escriba una direcci&oacute;n de correo v&aacute;lida. Por ejemplo perez@dominio.com"
"Please enter a valid date.","Por favor, escriba una fecha v&aacute;lida."
"Please enter a valid URL. http:// is required","Por favor, escriba una ULR v&aacute;lida. http:// es obligatorio"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor, escriba una URL v&aacute;lida. Por ejemplo http://www.ejemplo.com o www.ejemplo.com"
"Please wait, loading...","Por favor, espere. Cargando..."
"Please select State/Province.","Por favor, seleccione Estado/Provincia"
"Please select one of the above options.","Por favor, seleccione una de las opciones arriba."
"Please select one of the options.","Por favor, seleccione una de las opciones."
"Please select an option.","Por favor, seleccione una opci&oacute;n."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, use este formato de fecha: dd/mm/aaaa. Por ejemplo, 17/03/2006 para 17 de marzo de 2006."
"Please use letters only (a-z) in this field.","Por favor, use s&oacute;lo letras (a-z) en este campo."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor, use s&oacute;lo letras (a-z) o n&uacute;meros (0-9) en este campo. No se permiten espacios ni otros caracteres."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor, use s&oacute;lo letras (a-z) o n&uacute;meros (0-9) o espacios y # en este campo."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor, use s&oacute;lo letras (a-z), n&uacute;meros (0-9) o guiones bajos(_) en este campo. El primer car&aacute;cter debe ser una letra."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Por favor, use s&oacute;lo n&uacute;meros en este campo. Evite espacios u otros caracteres como puntos y comas."
"Port (25)","Puerto (25)"
"Forgot Password Email Sender","Remitente de correo de contrase&ntilde;a olvidada"
"Sender email","Remitente del correo electr&oacute;nico"
"Sales representative","Representante de ventas"
"Developer Client Restrictions","Restricciones de cliente para desarrollador"
"Target path for specified store","Ruta de destino para la tienda especificada"
"Cookie Path","Ruta de la cookie"
"Database was successfuly backed up.","Se cre&oacute; la copia de seguridad de la base de datos"
"Secure","Seguro"
"Services","Servicios"
"System","Sistema"
"Filesystem","Sistema de archivos"
"Website","Sitio web"
"Skin (Images / CSS)","Skin (Images / CSS)"
"Request path for specified store","Solicitud de ruta para la tienda especificada"
"Your session has been expired, you will be relogged in now.","Su sesi&oacute;n ha expirado. Tendr&aacute; que ingresar nuevamente."
"Telephone","Tel&eacute;fono"
"Themes","Temas"
"Store","Tienda"
"Default Store","Tienda por defecto"
"Stores","Tiendas"
"All","Todo"
"Translations","Traducciones"
"located in {{base_dir}}/var/log","ubicado en {{base_dir}}/var/log"
"Base URL","URL Base"
"Base JavaScript URL","URL Base de JavaScript"
"Base Link URL","URL Base de Link"
"Base Media URL","URL Base de Media"
"Base Skin URL","URL Base de Skin"
"Default no-route url","URL de no-ruta por defecto"
"Default web url","URL de web por defecto"
"Use Web Server Rewrites","Usar reescrituras del servidor web"
"Use Secure URLs in Frontend","Usar URLs seguras en el Frontend"
"Use Secure URLs in Admin","Usar URLs seguras en la Administraci&oacute;n"
"Admin User","Usuario administrador"
"Empty main table name","Vaciar el nombre de la tabla principal"
"Empty identifier field name","Vaciar el nombre del campo identificador"
"Default Store View","Vista de tienda por defecto"
"Back","Volver atr&aacute;s"
"Web","Web"
"Website with the same code","Ya existe un sitio web con el mismo c&oacute;digo"
"Store with the same code","Ya existe una tienda con el mismo c&oacute;digo"
"Timezone","Zona horaria"
