"Get ready to experience Open-Source eCommerce Evolved.","Prep&aacute;rese para experimentar la evoluci&oacute;n del comercio electr&oacute;nico de c&oacute;digo abierto."
"Proceed With Automatic Download (%s)","Proceder con la descarga automatica (%s)"
"Provide a complete base URL for SSL connection. For example: %s","Provea una base URL completa para una conexi&oacute;n SLL. Por ejemplo: %s"
"You can specify server port, ex.: localhost:3307<br/>If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","Puede especificar un puerto del servidor, ej.: localhost:3307<br/>Si no est&aacute; usando un socket por defecto de UNIX, puede especificarlo aqu&iacute; en lugar del host, ej.: /var/run/mysqld/mysqld.sock"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","Puede habilitar esta opci&oacute;n para usar las funcionalidades de las reescrituras web para mejorar la optimizaci&oacute;n de los motores de b&uacute;squeda."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Si desea gestionar los paquetes de Magento a trav&eacute;s de la interfase de administraci&oacute;n web, deber&aacute; tener permisos de escritura web aplicados a todas las carpetas y archivos de magento."
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","Si est&aacute; ejecutando el asistente de instalacion sobre un Magento previamente instalado, proceda con este m&eacute;todo."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Si est&aacute; ejecutando PHP como CGI, su proceso PHP podria ejecutarse bajo el mismo usuario que el que us&oacute; cuando subi&oacute; los archivos de Magento."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Si no quiere o no puede que sus directorios de Magento tengan permisos de escritura para el proceso web, podr&iacute;a usar el ejecutable PEAR ubicado en la ra&iacute;z de la instalaci&oacute;n de Magento."
"If your server is running on MS Windows, most probably you will not need to change anything.","Si su servidor est&aacute; ejecut&aacute;ndose en un sistema Windows,lo m&aacute;s probable es que no necesite cambiar nada."
"If you are a developer and would like to have the latest public updates, choose this option.","Si usted es un desarrollador y le gustar&iacute;a conocer las &uacute;ltimas actualizaciones, elija esta opci&oacute;n."
"Having trouble installing Magento?","Tiene problemas para instalar Magento?"
"All packages were installed successfully, click 'Ok' to continue with installation","Todos los paquetes fueron instalados con &eacute;xito. Presione 'Ok' para continuar con la instalaci&oacute;n"
"Localization","Ubicaci&oacute;n"
"One from PHP Extensions ""%s"" must be loaded","Una de las extensiones de PHP ""%s"" debe cargarse"
"Use Web Server (Apache) Rewrites","Usar reescrituras del Servidor Web (Apache)"
"Use Secure URLs (SSL)","Usar URLs seguras (SSL)"
"You're All Set","Ya est&aacute; todo listo"
"Time Zone","Zona horaria"
