"%s was successfully added to your shopping cart.","%s fue agregado con &eacute;xito al carrito de compras."
"Billing Information","Informaci&oacute;n de facturaci&oacute;n"
"Payment Information","Informaci&oacute;n de pago"
"Shipping Information","Informaci&oacute;n del env&iacute;o"
"Invalid data","Informaci&oacute;n inv&aacute;lida"
"Enter your coupon code if you have one.","Ingrese su c&oacute;digo de cup&oacute;n si tiene uno."
"Enter your destination to get a shipping estimate.","Ingrese su destino para obtener un precio estimado de env&iacute;o."
"Enter a New Address","Ingrese una nueva direcci&oacute;n"
"Proceed to Checkout","Ir a la Caja"
"Checkout","Ir a la Caja"
"Maximum qty allowed for Shipping to multiple addresses is %s","La m&aacute;xima cantidad para env&iacute;os a direcciones m&uacute;ltiples es  %s"
"Checkout method","M&eacute;todo de efectuar la compra"
"Shipping Method","M&eacute;todo de env&iacute;o"
"Invalid shipping method.","M&eacute;todo de env&iacute;o inv&aacute;lido"
"Payment Method","M&eacute;todo de pago"
"Shipping Methods","M&eacute;todos de env&iacute;o"
"My Cart","Mi carrito"
"My Cart (%s item)","Mi carrito (%s art&iacute;culo)"
"My Cart (%s items)","Mi carrito (%s art&iacute;culos)"
"My Account","Mi cuenta"
"My Cart Link","Mi enlace al carrito"
"Display number of items in cart","Mostrar el n&uacute;mero de art&iacute;culos en el carrito"
"Display item quantities","Mostrar las cantidades de los art&iacute;culos"
"Display Cart Summary","Mostrar resumen del carrito"
"Cannot update shopping cart","No se puede actualizar el carrito de compras"
"Can not add item to shopping cart","No se puede agregar el art&iacute;culo al carrito de compras"
"Can not apply coupon code.","No se puede aplicar el c&oacute;digo del cup&oacute;n."
"Cannot remove item","No se puede quitar el art&iacute;culo"
"Cannot move item to wishlist","No se puede trasladar el art&iacute;culo a la lista de art&iacute;culos de inter&eacute;s"
"You have no items in your shopping cart.","No tiene art&iacute;culos en su carrito de compras."
"You have no items in your cart.","No tiene art&iacute;culos en su carrito."
"First Name","Nombre"
"Product Name","Nombre del producto"
"New Address","Nueva direcci&oacute;n"
"Get a Quote","Obtenga una cotizaci&oacute;n"
"Forgot your password?","Olvid&oacute; su contrase&ntilde;a?"
"Forgot an Item?","Olvid&oacute; un art&iacute;culo?"
"Checkout Options","Opciones de Caja"
"Country","Pa&iacute;s"
"Checkout as Guest","Pasar por Caja como Invitado"
"Checkout as a Guest or Register","Pasar por Caja como Invitado o Registrarse"
"Order Success","Pedido exitoso"
"Allow Guest Checkout","Permitir comprar a los invitados"
"Please <a href=""%s"">continue shopping</a>.","Por favor <a href=""%s"">contin&uacute;e comprando</a>."
"Please log in below:","Por favor acceda:"
"Please specify the product(s) quantity","Por favor, especifique la cantidad de producto (s)"
"Please specify the product option(s)","Por favor, especifique las opciones de producto(s)"
"Please enter a coupon code.","Por favor, Ingrese su c&oacute;digo de cup&oacute;n."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, ingrese un c&oacute;digo postal v&aacute;lido."
"Please select shipping methods for all addresses","Por favor, seleccione m&eacute;todos de env&iacute;o para todas las direcciones "
"Price","Precio"
"Unit Price","Precio unitario"
"Based on your selection, you may be interested in the following items:","Probablemente le interesen tambi&eacute;n los siguientes art&iacute;culos:"
"Data saving problem","Problema al grabar los datos"
"Product","Producto"
"Remove","Quitar"
"Remove Item","Quitar el art&iacute;culo"
"Remove Product","Quitar el producto"
"Place Order","Realizar el Pedido"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Recibir&aacute; un correo electr&oacute;nico de confirmaci&oacute;n de su Pedido con los detalles del mismo y un enlace para seguir todo el proceso."
"Store Pickup","Recolecci&oacute;n de la Tienda"
"Card Verification Number Visual Reference","Referencia visual del n&uacute;mero de verificaci&oacute;n de la tarjeta"
"Register to Create an Account","Reg&iacute;strese para crear una cuenta"
"Register with us for future convenience:","Reg&iacute;strese para su conveniencia:"
"Register and save time!","Reg&iacute;strese y ahorre tiempo!"
"Register","Registrarse"
"Review Order","Revisar el Pedido"
"Review Order - %s","Revisar el Pedido - %s"
"Order Review","Revisi&oacute;n del Pedido"
"Select State/Province...","Seleccione el Estado/Provincia..."
"Select Shipping Method","Seleccione el m&eacute;todo de env&iacute;o"
"Select Address","Seleccione la direcci&oacute;n"
"Select Addresses","Seleccione las direcciones"
"Select a shipping address from your address book or enter a new address.","Seleccione una direcci&oacute;n de env&iacute;o de su libreta de direcciones o ingrese una nueva direcci&oacute;n."
"Select a billing address from your address book or enter a new address.","Seleccione una direcci&oacute;n de facturaci&oacute;n de su libreta de direcciones o ingrese una nueva direcci&oacute;n."
"Please select region, state or province","Seleccione una regi&oacute;n, estado o provincia"
"Your order number is %s","Su n&uacute;mero de Pedido es %s"
"Your order # is: %s","Su Pedido # es: %s"
"Your order has been received","Su Pedido ha sido recibido"
"Your Checkout Progress","Su progreso en la Caja"
"Subtotal","Subtotal"
"Cart Subtotal:","Subtotal del carrito:"
"Grand Total:","Suma total:"
"Telephone","Tel&eacute;fono"
"Total for this address","Total para esta direcci&oacute;n"
"Move to Wishlist","Trasladar a la lista de art&iacute;culos de inter&eacute;s"
"Use Billing Address","Usar la direcci&oacute;n de facturaci&oacute;n"
"Quote Lifetime (days)","Validez de la cotizaci&oacute;n (d&iacute;as)"
"Back to Shipping Information","Volver a la informaci&oacute;n de env&iacute;o"
"Back","Volver atr&aacute;s"
"Already registered?","Ya est&aacute; registrado?"
"There is already a customer registered using this email address","Ya existe un cliente registrado con esta direcci&oacute;n de correo electr&oacute;nico"
